,peri_title,comm_title,ques_title,excl_title,peri_text,comm_text,ques_text,excl_text,title_length,text_length,title_words
15227,0,0,0,0,14,29,0,1,65,2722,9
36694,0,0,0,0,14,15,0,0,90,1795,14
34588,0,0,1,0,11,12,3,0,141,1838,19
27240,0,1,0,0,16,19,0,0,80,1758,12
30536,0,0,0,1,12,16,4,1,110,1403,18
8941,2,0,0,0,1,1,0,0,62,281,11
13088,0,0,0,0,7,2,0,0,51,561,8
34661,0,0,0,0,3,0,0,2,123,558,20
44270,0,0,0,0,122,173,6,1,68,20197,11
24584,0,0,0,0,21,11,0,0,83,2539,11
29802,0,0,0,0,8,6,0,0,95,1234,13
34531,0,0,0,0,8,7,2,0,130,785,22
35622,0,0,0,1,17,12,2,3,94,1409,20
38377,0,1,0,0,15,17,1,0,98,2556,16
31720,0,0,0,0,18,7,1,1,89,1987,16
1567,0,0,0,0,24,25,0,0,62,2616,9
17760,2,0,0,0,5,3,0,0,62,430,11
1773,0,0,0,0,33,26,0,0,55,2795,10
30617,0,0,0,0,17,13,1,1,83,2258,11
11921,0,0,0,0,19,15,0,0,74,1907,11
19182,0,0,0,0,8,4,0,0,73,667,12
28486,0,0,0,0,16,14,1,0,96,1826,15
15880,0,0,0,0,12,12,0,0,68,1818,10
24055,0,0,0,0,21,10,0,0,84,2252,12
28201,0,1,0,0,18,22,5,1,75,2664,12
39435,0,0,0,0,19,13,0,2,103,2454,19
12557,2,1,0,0,34,23,0,0,68,3350,10
37154,0,0,0,0,16,12,5,0,164,2019,24
11279,2,1,0,0,59,52,0,0,69,6200,10
9884,2,2,0,0,28,24,1,0,69,2769,10
9525,0,0,0,0,17,17,0,0,62,2460,9
9074,0,2,0,0,20,15,0,0,56,2649,8
22864,0,0,0,0,23,26,0,0,93,2820,14
11943,2,1,0,0,21,14,0,0,71,1992,11
39248,0,1,0,1,25,35,0,12,109,4254,17
28950,0,0,0,0,11,8,0,0,79,1346,12
42366,0,1,0,0,34,33,0,2,177,4080,23
43060,0,0,0,0,0,0,0,0,77,84,11
13317,0,1,0,0,18,17,0,0,60,1890,9
8771,0,0,0,0,24,19,0,0,64,3105,10
18858,0,1,0,0,46,51,0,0,58,5305,9
10249,0,0,0,0,13,8,0,0,54,693,7
10861,1,0,0,0,18,14,0,0,64,2298,8
2816,0,0,0,0,282,129,57,0,67,29781,9
32383,0,0,0,0,10,4,4,4,96,1682,13
9176,0,0,0,0,10,10,1,0,57,1254,10
7375,0,0,0,0,43,49,0,0,60,5614,9
37588,0,0,1,0,3,1,1,1,115,561,19
28215,0,0,0,0,13,14,0,0,86,1377,15
11415,0,2,0,0,31,35,0,0,64,3700,10
13204,0,2,0,0,3,2,0,0,81,513,15
3324,2,0,0,0,24,19,0,1,66,2146,9
39276,0,0,0,0,17,12,2,0,145,1515,22
19519,0,0,0,0,22,10,0,0,64,2699,7
32851,0,2,0,0,7,19,3,0,120,1617,17
14789,0,0,0,0,26,47,0,0,98,4182,14
7394,0,1,0,0,60,40,0,0,50,6089,7
24279,0,0,0,0,39,57,7,5,82,5606,14
9422,0,0,0,0,23,24,0,0,64,2469,10
12777,0,0,0,0,3,2,0,0,84,430,15
12784,1,0,0,0,3,1,0,0,76,632,14
41313,0,0,0,1,0,0,0,0,95,112,13
26395,0,0,0,0,20,27,0,0,72,2224,11
36822,0,0,0,0,3,4,2,0,126,538,16
6301,0,0,0,0,9,7,0,0,66,986,9
8724,2,0,0,0,50,51,0,1,66,5948,8
39090,0,0,0,0,24,41,2,0,111,3802,17
4620,0,0,0,0,3,1,0,0,61,591,10
19013,0,1,0,0,22,19,1,0,80,3022,11
435,0,0,0,0,16,18,0,0,55,2163,9
13491,0,0,0,0,23,28,0,0,56,2578,10
31221,0,0,0,0,18,22,2,9,78,2219,13
3328,0,0,0,0,49,45,0,0,72,5270,10
13778,0,0,0,0,5,2,0,0,67,661,10
16018,0,0,0,0,27,21,0,0,55,3093,8
13279,1,1,0,0,23,21,0,0,71,2660,11
10792,0,1,0,0,30,14,0,0,66,3106,12
3571,0,0,0,0,9,4,0,0,61,654,9
43924,0,0,0,0,5,17,0,3,78,1308,13
27232,0,0,0,0,29,41,0,0,45,3792,7
41301,0,0,0,0,13,4,2,0,113,1384,15
20201,0,1,0,0,69,76,0,0,83,7455,13
17215,0,0,0,0,13,10,0,0,77,1497,12
22272,0,0,0,0,22,23,0,0,81,2039,11
31885,1,0,0,1,8,3,2,2,158,1094,21
8731,0,0,1,0,52,58,0,0,58,5413,11
32707,0,0,1,0,0,0,0,0,90,1,14
43446,0,0,0,0,7,13,0,1,82,1646,13
39790,1,0,0,0,12,8,1,0,101,1108,16
24628,0,1,0,0,16,17,5,0,72,2026,11
13093,0,0,0,0,5,5,0,0,71,791,14
31505,0,2,0,1,29,45,1,0,177,4231,22
19224,2,0,0,0,39,21,0,1,57,3286,9
15923,0,0,0,0,35,34,0,1,76,3483,10
34955,0,0,0,1,14,13,1,3,75,1529,11
42840,0,0,0,0,17,15,0,0,77,1775,11
6456,0,0,0,0,14,6,0,0,75,785,12
36207,0,0,0,0,15,9,2,0,82,1801,15
39645,0,2,0,1,17,12,3,8,92,2056,12
27864,0,0,0,0,35,26,0,0,86,4833,13
5031,2,0,0,0,28,31,0,0,66,2965,12
1732,0,0,0,0,7,5,0,0,63,695,9
29344,0,0,0,0,22,26,2,1,95,2537,16
28559,0,0,1,0,27,25,7,0,88,3386,17
5322,0,0,0,0,42,40,0,0,69,3782,12
23602,0,0,0,0,20,18,2,0,81,2241,13
5749,2,0,0,0,17,20,0,0,52,2281,8
4443,2,0,0,0,26,17,0,0,80,2559,14
44560,0,0,0,0,38,50,5,0,42,6445,8
19975,0,0,0,0,11,14,0,0,60,1711,11
42350,0,0,0,1,26,22,0,0,91,3000,14
3670,0,0,0,0,7,3,0,0,51,772,9
14956,0,0,0,0,12,17,0,0,65,2140,10
39491,0,0,0,0,9,15,3,0,111,1673,19
18681,0,1,0,0,9,12,0,0,67,1801,11
20799,0,0,0,0,15,18,0,0,68,1624,10
35378,0,1,0,1,2,3,0,1,103,203,16
21865,0,0,0,0,11,10,0,0,83,1379,13
23302,0,0,0,0,25,17,1,0,96,2977,17
13940,2,0,0,0,3,3,0,0,80,391,13
43206,0,0,0,0,0,1,0,0,111,92,16
34340,0,0,0,0,15,15,1,0,71,2359,13
3546,0,1,0,0,27,34,0,0,59,2991,9
14439,0,1,0,0,15,10,0,0,59,2005,10
35875,0,0,0,0,21,11,0,0,93,3021,18
6032,0,0,0,0,28,31,0,2,61,2747,9
7457,0,0,0,0,8,2,0,0,79,675,13
26758,0,0,0,0,25,13,1,0,65,2015,10
35220,0,0,0,0,22,12,2,2,138,2427,22
21964,0,1,0,0,22,24,0,0,89,2393,14
24477,0,0,0,0,22,34,0,2,96,3643,13
15878,2,0,0,0,46,23,0,0,73,3195,11
9177,0,0,0,0,16,19,0,0,59,2376,8
3865,0,0,0,0,5,4,0,0,60,469,8
24599,0,0,0,0,16,14,0,0,98,2912,14
29816,0,1,0,0,30,27,1,0,78,3834,13
17318,2,1,0,0,46,28,0,0,60,4289,10
8178,2,0,0,0,24,25,0,0,68,2333,10
31252,0,0,0,0,12,8,2,3,103,1923,17
42586,0,0,0,0,11,16,2,0,110,1454,19
35383,0,0,0,0,4,6,0,0,66,862,13
25211,0,1,0,0,23,18,1,0,86,2001,12
5845,0,0,0,0,14,14,0,0,56,1313,9
5386,0,0,0,0,7,2,0,0,56,470,8
37045,0,0,0,0,13,13,1,0,60,2227,9
12401,0,0,0,0,16,16,0,0,55,2188,9
15467,0,0,0,0,16,20,0,0,68,1941,10
5270,0,0,0,0,29,29,0,0,54,3466,8
3703,0,0,0,0,58,31,0,0,66,4604,9
6441,0,0,0,0,31,28,0,0,102,3656,16
19401,0,0,0,0,38,40,0,0,72,3990,12
21160,0,0,0,0,22,23,0,0,57,2569,9
21260,0,0,0,0,39,41,0,0,64,5106,9
1777,2,0,0,0,13,6,0,0,62,1363,11
20905,0,0,0,0,4,3,0,0,71,623,12
22843,0,1,0,0,18,18,0,0,102,2013,17
23621,0,0,0,0,35,28,1,0,98,3565,17
14855,0,0,0,0,26,24,0,0,68,3079,11
35937,0,0,0,0,1,0,0,1,54,170,7
2087,0,1,0,0,9,2,0,2,64,531,11
11053,0,1,0,0,18,22,0,0,70,2259,11
24085,0,0,0,0,40,34,8,5,110,3704,15
13239,0,0,0,0,10,4,0,0,63,808,8
41078,1,0,0,0,27,17,0,1,162,2041,23
27965,0,0,0,0,25,12,0,1,103,2458,16
33297,0,0,0,0,16,8,1,0,120,1436,15
21457,0,0,0,0,31,24,0,4,76,2633,13
4015,2,0,0,0,22,24,0,0,50,3094,10
36159,0,0,0,1,11,12,1,0,95,1797,16
2752,0,0,0,0,9,12,0,0,54,1118,8
39287,0,0,0,1,13,12,0,0,122,2212,18
3049,0,0,0,0,22,15,0,0,60,1636,9
11786,0,1,0,0,38,34,1,0,99,4816,12
10574,0,0,0,0,21,17,0,0,54,2248,7
23940,0,0,0,0,11,9,0,0,103,2063,14
37749,0,1,0,0,2,0,0,0,104,232,15
9687,0,0,0,0,3,3,0,0,74,400,11
30010,0,1,0,0,34,42,3,0,105,3810,16
8513,0,0,0,0,36,41,0,0,74,4334,9
35725,0,0,0,0,21,18,0,0,170,3340,25
23724,0,0,0,0,47,49,12,10,96,5805,15
43239,0,0,0,0,47,36,2,0,103,4517,18
36164,0,1,1,0,94,89,1,0,127,11094,17
41091,1,2,0,1,2,1,2,1,111,131,17
28535,0,1,0,0,44,55,1,0,94,6367,12
34080,0,0,0,0,6,6,0,0,83,1017,13
36448,0,0,0,0,0,0,0,0,109,93,17
41780,2,0,0,0,16,21,0,0,101,2342,13
25931,0,1,0,0,16,22,4,2,97,1744,15
18214,2,0,0,0,57,33,0,0,65,3944,9
6206,0,0,0,0,7,3,0,0,54,437,10
4314,2,0,0,0,25,21,0,0,66,2557,12
4385,2,0,0,0,9,5,0,0,76,684,13
8630,0,0,0,0,46,52,0,3,61,5196,11
4972,0,1,0,0,4,2,0,0,59,650,7
26053,0,0,0,0,19,20,0,0,70,2434,9
25738,0,0,0,0,29,26,0,0,79,3270,10
23415,0,0,0,0,8,17,2,0,76,1677,12
33524,0,0,0,0,12,9,0,0,134,1312,20
31577,0,0,0,1,67,26,2,3,64,6504,10
10407,0,0,0,0,4,3,0,0,63,277,10
2937,0,1,0,0,19,18,0,0,61,2412,9
43380,1,0,0,0,23,37,1,1,69,3369,12
19488,0,1,0,0,10,9,0,0,66,970,10
38989,1,0,0,0,28,29,0,0,97,2747,16
16121,0,0,0,0,18,15,0,0,77,2170,10
10258,0,0,0,0,37,33,1,0,45,3861,7
9671,0,0,0,0,20,29,0,0,68,2672,9
4206,0,1,0,0,14,3,0,5,64,1116,11
13497,0,0,0,0,24,23,0,0,63,3195,9
3609,0,0,0,0,22,16,0,0,59,2104,9
14267,0,1,0,0,33,34,1,0,66,4769,11
38935,0,0,0,0,209,167,0,0,61,22867,10
8792,2,0,0,0,22,12,0,0,69,2754,9
13389,2,1,0,0,27,11,0,0,68,1480,12
7805,2,0,0,0,13,10,0,0,62,1141,10
3204,2,0,0,0,21,17,0,0,57,2480,9
30134,0,0,0,0,35,32,0,0,94,4534,16
21534,0,1,0,0,25,20,0,3,87,2157,12
1125,0,1,0,0,28,24,0,0,81,3478,10
37723,0,0,0,0,0,0,0,0,96,2,15
32965,0,3,0,0,2,0,1,0,124,49,17
1423,0,0,0,0,4,4,0,0,76,336,11
30951,0,0,0,0,17,5,0,0,88,1562,13
44697,0,0,0,0,6,14,0,3,38,926,7
9529,0,0,0,0,13,22,0,0,71,1782,10
32256,0,0,0,1,13,12,1,0,155,1631,23
9096,0,0,0,0,54,49,0,0,58,5216,8
40650,0,0,0,2,1,0,0,0,96,23,15
37250,0,0,0,0,9,13,2,0,137,1759,22
12414,0,0,0,0,3,0,0,0,91,462,12
16676,0,0,0,0,7,5,0,0,66,1244,10
34109,0,0,0,1,4,2,0,1,106,733,16
43830,0,0,0,0,46,54,1,0,76,7284,10
27210,0,0,0,0,32,23,6,1,94,3499,13
43556,2,0,0,0,91,113,7,0,69,11849,14
6943,0,0,0,0,6,0,0,1,64,516,9
23024,0,0,0,0,43,40,4,1,111,4472,19
1042,2,1,0,0,23,15,0,0,81,3001,12
25074,0,0,0,0,21,14,1,0,97,2151,16
19849,2,0,0,0,15,14,0,0,65,1618,9
7818,2,0,0,0,24,16,0,0,57,2703,9
29729,0,0,0,0,13,15,1,1,86,1356,14
33968,0,0,0,0,5,2,0,0,159,447,21
21036,0,0,0,0,13,13,0,0,74,2577,12
24468,0,0,0,0,24,32,1,0,68,2795,12
43711,0,0,1,0,34,30,0,0,73,3526,12
7324,0,0,0,0,42,63,2,0,67,5692,10
3434,2,0,0,0,23,10,0,0,75,2059,12
25854,0,0,0,0,18,25,0,0,76,2489,10
33131,0,0,0,0,2,0,0,1,104,211,15
12155,0,0,0,0,44,25,0,0,68,3733,10
19990,0,0,0,0,9,5,0,0,71,1443,9
30046,0,0,0,0,48,26,7,3,82,3531,16
20292,0,0,0,0,8,3,0,0,81,533,13
37478,0,0,0,1,21,23,2,1,113,1685,16
43778,0,2,0,0,42,45,1,2,116,4756,16
1508,2,1,0,0,59,60,0,0,59,6097,9
11121,0,0,0,0,43,36,0,0,63,4648,10
17415,0,0,0,0,5,2,0,0,74,978,14
13483,0,0,0,0,87,129,1,0,43,11405,7
31910,0,0,0,2,28,15,5,6,69,2329,11
38510,0,0,0,0,25,19,3,6,59,2715,9
11930,0,0,0,0,11,16,0,0,63,1870,12
21492,0,0,0,0,22,36,0,3,67,3315,12
2808,0,1,0,0,21,19,0,0,64,1906,8
38330,0,0,0,0,17,16,0,0,125,1955,18
44027,0,0,0,0,11,17,1,0,78,2059,14
21979,0,0,0,0,13,16,0,1,96,1270,15
42875,0,0,0,0,12,4,0,0,81,1047,13
3695,0,0,0,0,34,32,0,0,60,3580,11
26112,0,0,0,0,23,17,0,0,92,3095,15
33055,0,0,1,1,3,2,0,0,86,427,13
40186,0,0,0,0,21,15,2,0,117,3462,17
22905,0,0,0,0,17,16,3,0,80,2957,11
3429,0,0,0,0,46,36,0,0,55,4490,10
17549,0,0,0,0,26,28,0,0,83,4049,11
8598,0,1,0,0,32,37,1,0,64,3595,9
38557,0,0,0,1,11,12,0,0,104,1244,18
38384,0,0,0,0,3,2,0,1,50,582,8
3404,0,0,0,0,6,2,0,1,78,627,13
3141,0,0,0,0,96,63,0,0,68,7909,12
5975,0,1,0,0,36,30,1,0,71,4175,11
2039,0,0,0,0,20,22,0,0,60,2566,11
3186,2,0,0,0,35,43,0,0,64,4581,10
3006,2,0,0,0,23,19,0,0,49,3139,7
7115,0,0,0,0,51,40,0,1,55,5686,9
40716,0,1,2,1,20,9,8,1,184,1302,29
27885,0,0,0,0,20,20,0,0,64,2498,8
25686,0,0,0,0,10,15,0,0,87,1410,16
44674,0,1,0,0,6,11,0,3,71,845,12
25282,0,1,0,0,20,14,0,0,96,1985,18
30388,2,1,0,0,36,40,3,0,73,4486,11
1832,2,0,0,0,50,44,1,0,69,5106,13
37486,0,0,0,0,42,32,0,3,73,3349,15
40635,0,1,1,1,45,54,4,0,199,4835,33
20266,0,0,0,0,2,0,0,0,61,332,10
1102,2,0,0,0,41,29,0,2,56,4639,10
35718,0,0,0,0,12,19,1,0,105,1600,14
9002,0,1,0,0,42,40,0,0,64,4516,10
5848,0,1,0,0,32,21,0,0,76,2414,11
38962,0,0,0,0,13,6,1,0,103,1319,15
17894,2,0,0,0,5,3,0,0,62,528,11
42085,0,0,0,0,17,16,1,0,66,1681,12
41439,0,1,0,0,13,15,0,2,199,2011,32
27011,0,0,0,0,13,13,2,1,76,1458,13
15317,2,0,0,0,49,40,0,0,61,5015,10
8507,0,1,0,0,31,23,1,0,75,2711,11
310,0,0,0,0,31,23,0,1,55,2437,7
12650,0,0,0,0,13,12,0,0,63,1566,11
15735,0,0,0,0,22,16,0,0,66,2364,9
27266,0,1,0,0,22,16,0,0,70,2396,9
30191,0,0,0,0,30,34,0,0,100,3451,14
30906,1,0,1,1,13,5,3,1,89,2169,14
20986,0,0,0,0,26,20,0,0,57,3294,8
14399,2,0,0,0,22,18,0,0,80,2358,14
28076,0,0,0,0,25,28,0,1,97,3287,13
40233,0,0,0,0,14,13,1,0,139,1629,20
7100,0,0,0,0,57,77,0,0,58,5687,8
28753,0,0,0,0,15,18,0,0,88,2481,15
703,0,1,0,0,36,25,0,0,71,3769,11
30554,2,0,1,1,17,2,0,1,104,1085,16
13734,0,0,0,0,5,3,0,0,48,930,7
36031,0,2,0,0,119,111,16,33,187,9642,32
9014,0,0,0,0,5,1,0,0,56,401,10
38336,0,0,0,0,2,2,0,0,68,235,12
36815,0,0,0,0,21,13,1,1,92,2024,18
36513,0,0,0,1,53,46,4,0,117,7615,19
19140,1,1,0,0,53,41,0,0,73,5595,11
10591,0,0,0,0,12,4,0,0,78,1017,12
4040,0,0,0,0,22,13,0,0,65,2249,11
23146,0,1,0,0,20,26,0,0,100,2839,16
17342,0,0,0,0,3,6,0,0,64,496,11
29264,0,1,0,0,32,39,0,0,91,3886,13
1903,0,0,0,0,28,35,0,0,62,3334,10
39547,0,0,0,0,16,12,1,3,121,2587,16
5203,0,1,0,0,131,80,1,0,67,10890,9
18481,0,0,0,0,22,19,0,0,41,2729,7
21056,0,0,0,0,26,20,0,0,44,2299,8
42546,0,0,0,0,14,16,1,0,88,1225,14
33663,0,0,1,0,8,3,0,1,29,791,5
33685,0,0,1,0,0,0,0,0,93,1,17
